idx,SEX_GBN,AGE_GBN,JOB_GBN,ADD_GBN,INCOME_GBN,MARRY_Y,DOUBLE_IN,NUMCHILD,TOT_ASSET,ASS_FIN,ASS_REAL,ASS_ETC,M_TOT_SAVING,M_JEOK,CHUNG_Y,M_FUND_STOCK,M_FUND,M_STOCK,M_SAVING_INSUR,M_CHUNG,TOT_DEBT,D_SHINYONG,D_DAMBO,D_JUTEAKDAMBO,D_JEONSEA,RETIRE_NEED,FOR_RETIRE,TOT_YEA,TOT_JEOK,TOT_CHUNG,TOT_FUND,TOT_ELS_ETE,TOT_SOBI,M_CRD_SPD
7907,1,2,9,2,2,1,,,1150,150,0,1000,5,0,5,0,0,0,0,5,0,0,0,0,0,,0,,,100,,,70,1369899
7909,1,2,2,4,2,1,,,265,260,0,5,50,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,,20,1437017
7913,2,3,3,5,7,2,2,3,39700,2700,29000,8000,70,59,5,0,0,0,0,11,4500,0,0,0,0,,70,,2000,500,,,350,2641576
7914,1,5,9,2,6,2,2,2,17500,5500,10000,2000,50,0,,0,0,0,0,0,15000,0,15000,15000,0,,0,,,,,,250,3038873
7915,1,4,2,2,7,2,1,2,9110,100,9000,10,10,0,,0,0,0,0,0,3000,1000,2000,0,0,300,0,,,,,,900,3615840
7916,1,5,9,3,6,2,2,2,59200,8200,47000,4000,200,0,5,0,0,0,30,30,2000,0,2000,0,0,,30,2000,,500,,,300,2869737
7917,2,3,8,4,4,2,2,1,16825,1825,13000,2000,50,0,,0,0,0,21,0,6280,0,5800,5800,0,,0,,,,,,50,2929480
7918,2,4,2,4,3,1,,,19100,100,18000,1000,10,0,,0,0,0,0,0,0,0,0,0,0,200,0,,,,,,150,3146000
7921,2,3,2,3,4,2,2,1,22950,1950,20000,1000,60,20,5,0,0,0,20,2,0,0,0,0,0,,0,1000,200,100,,,100,2769733
7926,1,4,2,2,7,2,2,2,160000,20000,125000,15000,100,0,,0,0,0,0,0,0,0,0,0,0,400,0,,,,15000,,550,3615840
7927,1,4,8,5,6,2,2,2,23600,2100,20000,1500,100,0,,0,0,0,50,0,2000,0,2000,2000,0,300,50,,,,,,250,3380323
7928,2,2,2,5,3,1,,,4885,4875,0,10,170,122,5,0,0,0,40,2,50,0,0,0,0,,40,1500,2200,300,,,11,1682269
7931,2,2,2,2,4,1,,,309135,3135,301000,5000,10,2,5,0,0,0,4,0,0,0,0,0,0,,10,850,500,300,175,,100,1741465
7932,1,3,6,5,3,1,,,18350,1000,16850,500,30,0,,0,0,0,0,0,0,0,0,0,0,,20,,,,,,80,3146348
7936,1,2,8,1,3,1,,,2450,2450,0,0,75,0,5,0,0,0,0,5,0,0,0,0,0,,0,2000,,300,,,50,1437457
7937,2,2,2,3,2,1,,,2700,700,0,2000,70,60,5,0,0,0,0,10,0,0,0,0,0,,70,50,400,200,,,40,1693477
7938,1,5,9,3,6,2,2,1,25950,6950,16000,3000,50,0,,0,0,0,0,0,8500,0,8500,8500,0,,0,,,,,,320,2869737
7939,1,4,8,3,5,2,2,1,19850,3850,13000,3000,200,0,,40,40,0,160,0,7800,0,0,0,7200,180,20,1700,,,600,,180,3487272
7940,1,3,2,4,5,2,1,1,27700,1200,26000,500,50,0,,0,0,0,0,0,6000,0,6000,6000,0,,10,,,,,,300,3414512
7943,2,4,2,5,3,1,,,17500,5500,12000,0,50,35,,0,0,0,0,0,0,0,0,0,0,150,0,1000,3000,,,,100,2639625
7944,1,5,2,4,6,2,1,2,52700,25700,25000,2000,200,0,5,0,0,0,0,0,0,0,0,0,0,,50,,,300,,25000,260,3106659
7945,1,6,2,5,7,2,2,1,250500,23500,220000,7000,400,300,,0,0,0,80,0,2000,0,0,0,0,,400,2000,4000,,,,400,1656130
7946,1,3,8,5,4,1,,,1667,1667,0,0,50,10,5,0,0,0,37,3,400,400,0,0,0,,0,,100,67,,,250,3146348
7950,1,3,2,5,3,2,1,2,28450,1450,25000,2000,35,0,5,0,0,0,15,2,4500,0,4500,4500,0,,0,,,250,,,130,3146348
7952,2,3,2,2,4,1,,,10585,585,0,10000,60,50,,9,9,0,0,0,700,0,0,0,0,,20,,200,,60,,70,2932871
7953,2,2,9,3,1,1,,,4720,2220,0,2500,20,20,,0,0,0,0,0,300,0,0,0,0,,3,1000,920,,,,30,1693477
7954,2,2,2,4,6,1,,,10290,290,0,10000,2,0,5,0,0,0,0,2,0,0,0,0,0,,0,,,90,,,250,1741706
7955,1,3,9,4,6,1,,,77600,600,75000,2000,1,0,,0,0,0,0,0,0,0,0,0,0,,1,,,,,,20,3414512
7956,1,4,9,5,3,1,,,19200,2800,6400,10000,35,0,5,35,35,0,0,0,0,0,0,0,0,150,30,,,50,300,,80,3380323
7959,2,4,2,5,6,2,2,2,48200,12200,31000,5000,200,0,5,0,0,0,100,40,0,0,0,0,0,200,100,5000,,500,,,400,2639625
7960,2,3,9,5,6,2,2,1,57800,2300,52000,3500,100,60,5,0,0,0,0,30,9000,0,7000,7000,0,,50,,700,1000,,,200,2641576
7961,2,4,2,5,7,2,2,2,39580,14580,20000,5000,178,83,5,0,0,0,0,15,0,0,0,0,0,200,27,2000,2000,500,,,450,2639625
7964,2,2,9,3,1,1,,,324,304,0,20,10,5,,0,0,0,0,0,0,0,0,0,0,,0,,130,,,,20,1693477
7965,2,4,2,5,4,2,2,1,16850,4150,12500,200,30,10,5,0,0,0,0,10,0,0,0,0,0,200,20,2000,300,300,,,250,2639625
7968,1,4,9,2,3,2,2,2,41550,50,40000,1500,10,0,,0,0,0,0,0,5500,0,5000,5000,0,200,0,,,,,,130,3615840
7969,2,3,2,4,4,1,,,9995,2495,6500,1000,60,20,5,0,0,0,10,5,10000,0,10000,10000,0,,0,300,500,285,260,,200,2929480
7973,1,3,8,3,6,1,,,16125,11125,0,5000,300,280,5,0,0,0,0,10,0,0,0,0,0,,0,8500,280,465,,,120,3232276
7974,2,5,3,5,6,2,2,2,14600,6900,5700,2000,150,0,5,0,0,0,0,10,1000,0,0,0,0,,70,500,,400,,,300,2188927
7975,2,2,9,5,3,1,,,6800,1800,0,5000,30,0,,0,0,0,0,0,800,0,0,0,0,,20,800,,,,,20,1682269
7976,1,4,2,5,4,2,2,3,23580,580,20000,3000,19,0,5,0,0,0,0,5,2900,0,2900,2900,0,200,0,,,300,,,200,3380323
7979,2,5,9,2,5,2,2,2,79440,10440,65000,4000,93,30,5,3,3,0,30,8,6900,0,6900,6900,0,150,30,100,1000,280,480,500,280,2568835
7985,1,6,9,1,7,2,2,2,144000,1000,138000,5000,100,30,,0,0,0,30,0,13349,750,3500,3500,0,,30,,300,,,,200,3425282
7986,1,2,9,1,5,2,2,,33600,400,33000,200,200,100,5,0,0,0,0,50,0,0,0,0,0,,0,,100,50,,,200,1437457
7987,2,5,2,2,6,1,,,800,300,0,500,250,0,,0,0,0,0,0,150,0,0,0,150,,0,,,,,,400,2568835
7988,2,4,2,2,5,2,2,2,41300,2300,37000,2000,20,0,,0,0,0,0,0,6500,0,6500,6500,0,150,0,,1000,,,,250,3198903
7991,1,5,2,5,5,2,2,2,25800,1800,21000,3000,100,0,,0,0,0,50,0,500,300,0,0,0,,30,200,300,,,,150,2860741
7992,1,2,9,2,1,1,,,800,100,0,700,1,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,,150,1369899
7993,2,3,9,2,7,2,2,2,227000,5000,220000,2000,50,0,,0,0,0,0,0,6750,0,6750,6750,0,,0,,,,,,330,2932871
7994,2,3,6,3,7,2,2,1,184000,55000,126000,3000,400,50,5,0,0,0,60,20,0,0,0,0,0,,0,30000,500,500,,,400,2769733
7998,2,2,2,2,3,1,,,15100,100,7000,8000,10,0,,0,0,0,0,0,1,0,0,0,0,,0,,,,,,20,1741465
8001,1,4,8,3,4,2,1,1,16650,700,14950,1000,10,0,5,0,0,0,0,0,0,0,0,0,0,200,0,,,200,,,300,3487272
8002,1,3,9,4,3,1,,,4000,1000,0,3000,20,0,5,0,0,0,0,20,1800,0,0,0,1500,,0,,,500,,,100,3414512
8003,2,4,2,2,4,2,2,2,40000,7000,32000,1000,80,30,,0,0,0,0,0,0,0,0,0,0,150,10,1500,3000,,,,250,3198903
8004,2,3,9,4,3,1,,,7400,3100,2300,2000,100,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,,80,2929480
8006,1,3,2,2,6,2,2,2,104000,2000,100000,2000,10,0,5,10,10,0,0,0,0,0,0,0,0,,0,,,500,500,,200,3211358
8007,1,6,2,1,4,2,1,2,136230,1230,125000,10000,1,0,,0,0,0,0,0,0,0,0,0,0,,0,600,,,,,300,3425282
8009,1,3,2,3,7,1,,,3500,1000,500,2000,100,0,,0,0,0,50,0,1020,1000,0,0,0,,0,,,,,,300,3232276
8010,1,5,2,5,6,2,2,1,28200,6700,20000,1500,30,0,5,0,0,0,0,0,2200,0,0,0,0,,0,3000,,200,,,400,2860741
8013,1,5,2,3,4,2,1,1,37000,18000,18000,1000,80,80,,0,0,0,0,0,0,0,0,0,0,,80,8000,6000,,,,270,2869737
8015,1,5,2,1,7,2,2,1,72100,14100,55000,3000,100,0,,0,0,0,0,0,0,0,0,0,0,,0,5000,,,,,550,4970759
8017,2,4,2,3,6,2,2,2,59700,8700,50000,1000,100,0,,0,0,0,40,0,16400,0,11000,11000,0,300,20,,,,,,400,2835021
8018,1,4,2,3,7,2,2,2,52200,200,50000,2000,200,0,,0,0,0,0,0,8000,0,8000,8000,0,200,30,,,,,,350,3487272
8021,1,3,2,5,6,2,1,2,44100,100,34000,10000,100,0,,0,0,0,0,0,1000,0,0,0,0,,0,,,,,,400,3146348
8024,1,4,8,5,7,2,2,2,38300,3300,34000,1000,60,0,,0,0,0,0,0,0,0,0,0,0,300,0,800,,,,,200,3380323
8026,2,4,9,3,1,1,,,6920,6900,0,20,10,0,,10,10,0,0,0,0,0,0,0,0,60,5,5800,,,700,,20,2835021
8028,1,3,2,4,2,2,1,1,13100,100,7000,6000,1,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,,150,3414512
8031,1,2,9,2,3,1,,,620,120,0,500,10,0,,0,0,0,0,0,1950,0,0,0,0,,0,,,,,,150,1369899
8032,1,2,2,4,2,1,,,1950,450,1000,500,5,0,5,0,0,0,0,5,2000,0,0,0,0,,5,50,,200,,,70,1437017
8033,1,4,2,4,7,2,1,1,48200,16000,32000,200,150,0,,150,150,0,0,0,680,0,680,680,0,200,100,3000,,,3000,,400,3809610
8038,1,3,2,2,5,2,2,2,105530,530,100000,5000,30,0,,0,0,0,0,0,1800,0,0,0,0,,30,500,,,,,200,3211358
8039,1,5,8,5,4,2,2,1,2000,450,1250,300,50,50,,0,0,0,0,0,4900,2300,2200,1100,0,,0,,150,,,,70,2860741
8042,1,3,2,3,6,2,2,1,33900,800,33000,100,50,0,,0,0,0,0,0,13500,0,13500,13500,0,,38,300,,,,,100,3232276
8043,2,3,2,5,3,1,,,601,600,0,1,50,40,5,10,10,0,0,0,0,0,0,0,0,,0,100,150,50,200,,150,2641576
8044,2,3,2,5,3,1,,,42380,7380,33000,2000,60,50,5,0,0,0,0,10,7500,0,7500,7500,0,,50,7000,200,80,,,80,2641576
8045,1,4,2,3,6,2,1,1,18050,50,15000,3000,50,0,,0,0,0,0,0,0,0,0,0,0,100,30,,,,,,100,3487272
8046,1,3,9,4,4,1,,,27100,100,15000,12000,50,0,,0,0,0,0,0,1000,0,0,0,1000,,50,50,,,,,10,3414512
8047,1,6,9,4,4,2,1,1,11000,8000,2000,1000,15,0,5,0,0,0,0,0,14500,0,14500,9500,0,200,0,,,500,,,300,1978722
8052,1,6,8,1,2,2,1,2,24365,1365,20000,3000,30,0,,0,0,0,15,0,0,0,0,0,0,,15,,,,,,100,3425282
8054,1,3,9,3,3,2,1,2,21950,450,21000,500,3,0,5,0,0,0,0,2,14700,3000,11700,11700,0,,0,,,300,,,200,3232276
8055,2,5,9,2,5,2,2,2,79300,36300,40000,3000,150,0,,100,100,0,0,0,0,0,0,0,0,200,100,11000,,,5000,,200,2568835
8059,1,6,8,2,6,2,1,2,22480,2380,20000,100,200,30,5,0,0,0,10,10,220,0,0,0,0,,10,,50,500,,,150,1830279
8060,2,4,7,2,5,2,2,2,29150,5650,23000,500,52,0,5,0,0,0,0,2,19700,4700,13800,13800,0,250,0,,,300,,,270,3198903
8061,2,5,9,4,5,2,2,2,66500,5500,60000,1000,50,0,,0,0,0,0,0,6500,0,0,0,0,,0,,,,,,300,2624100
8064,1,2,2,3,2,1,,,850,500,300,50,80,0,,0,0,0,0,0,0,0,0,0,0,,20,,,,,,80,1316087
8065,2,4,2,4,6,2,2,2,33450,13950,19000,500,125,55,5,0,0,0,42,10,0,0,0,0,0,300,20,7000,2000,2200,,,300,3146000
8066,1,2,2,4,3,1,,,3810,1210,0,2600,50,40,5,0,0,0,0,5,300,0,0,0,0,,10,,1000,60,,,80,1437017
8069,1,3,3,3,5,2,2,1,2620,620,0,2000,20,20,,0,0,0,0,0,7000,0,7000,7000,0,,20,80,240,,,,100,3232276
8070,1,3,2,5,6,2,2,1,54000,12500,37000,4500,300,0,,0,0,0,0,0,0,0,0,0,0,,0,10000,,,,,90,3146348
8071,1,3,9,5,3,1,,,21530,2030,19000,500,100,80,5,0,0,0,0,20,0,0,0,0,0,,0,50,80,400,,,50,3146348
8073,2,3,6,4,4,2,2,2,16990,490,15500,1000,100,0,5,0,0,0,0,10,17280,5000,0,0,12000,,0,,,250,100,,150,2929480
8075,1,5,2,3,7,2,2,2,63500,7500,51000,5000,200,120,,0,0,0,80,0,12000,0,12000,12000,0,,50,2000,2500,,,,1000,2869737
8076,1,3,2,5,6,2,1,2,24150,1150,21000,2000,30,20,5,0,0,0,0,10,5500,0,5500,5500,0,,20,500,500,100,,,300,3146348
8077,1,5,2,4,7,2,1,1,82500,6500,71000,5000,100,0,5,0,0,0,80,20,10000,0,10000,10000,0,,0,,,200,,,300,3106659
8078,1,3,2,1,6,2,2,,98500,8000,90000,500,200,0,,0,0,0,0,0,8500,0,8500,8500,0,,0,,,,,,100,3993789
8080,1,2,2,3,3,1,,,651,150,500,1,1,0,,0,0,0,0,0,3600,1500,0,0,600,,0,,,,,,150,1316087
8086,2,2,3,5,2,1,,,5950,1450,3000,1500,20,0,5,0,0,0,0,20,0,0,0,0,0,,0,1000,,150,,,70,1682269
8091,1,3,2,2,7,2,2,2,94650,50400,42000,2250,150,0,5,100,100,0,25,0,5000,0,0,0,5000,,100,100,100,700,3000,1000,500,3211358
8095,1,5,4,3,5,2,2,1,14800,1600,13000,200,12,0,5,0,0,0,0,0,1200,0,1200,0,0,,0,,,1000,,,200,2869737
8096,1,5,8,5,3,2,1,2,10580,2430,7150,1000,30,0,5,0,0,0,20,2,8500,0,0,0,6000,,0,,,280,,,100,2860741
8097,2,4,2,3,6,2,2,1,25200,1700,22000,1500,150,0,,0,0,0,150,0,190,0,0,0,0,300,0,,500,,,,340,2835021
8098,2,4,2,4,5,2,2,1,20290,5790,13000,1500,70,40,,0,0,0,30,0,0,0,0,0,0,100,20,5000,400,,,,250,3146000
8099,2,3,7,4,3,1,,,1100,100,0,1000,10,0,5,0,0,0,0,5,0,0,0,0,0,,0,,,50,,,13,2929480
8100,1,5,2,2,5,2,2,1,29800,800,29000,0,50,50,,0,0,0,0,0,9000,0,9000,9000,0,,30,,200,,,,300,3038873
8102,2,3,7,3,4,2,2,,6600,600,0,6000,20,0,,0,0,0,0,0,6000,0,1000,0,5000,,0,,,,,,250,2769733
8103,1,2,9,3,3,2,2,,225,160,35,30,15,0,,0,0,0,15,0,50,0,0,0,0,,10,50,,,,,60,1316087
8107,2,5,7,5,3,2,1,,12760,2760,10000,0,25,0,,0,0,0,0,0,5500,0,5500,5500,0,150,0,,,,,,150,2188927
8109,1,4,8,5,5,2,2,1,29100,12500,14000,2600,15,15,,0,0,0,0,0,0,0,0,0,0,260,15,5600,2300,,,,260,3380323
8110,1,4,2,2,7,2,2,2,44800,6700,38000,100,300,100,5,0,0,0,190,10,0,0,0,0,0,200,35,3000,100,600,,,200,3615840
8111,2,3,2,4,3,1,,,5840,840,0,5000,40,30,5,0,0,0,0,5,0,0,0,0,0,,0,100,90,300,,,100,2929480
8113,2,2,9,4,6,1,,,16300,200,11100,5000,10,0,,0,0,0,0,0,100,100,0,0,0,,10,,,,,,500,1741706
8114,2,4,2,5,4,1,,,12150,50,12000,100,1,0,,0,0,0,0,0,0,0,0,0,0,300,0,,,,,,40,2639625
8115,1,4,9,4,7,2,2,2,37850,2850,32000,3000,100,0,5,0,0,0,0,15,9000,4000,4400,4000,0,300,0,550,,600,,,300,3809610
8117,1,6,8,3,6,2,2,3,4310,310,1500,2500,190,0,5,0,0,0,0,10,480,0,300,0,0,,0,,,210,,,310,1645889
8119,2,4,9,3,6,2,2,3,22100,2100,18000,2000,30,24,5,0,0,0,0,6,1800,0,1800,1800,0,200,0,,1000,1000,,,400,2835021
8120,2,4,2,3,5,2,2,2,18600,6600,10000,2000,80,0,5,0,0,0,0,45,8100,0,5400,5400,0,200,40,,,100,100,,200,2835021
8122,1,3,4,5,3,2,2,2,11900,1500,9700,700,20,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,1000,,170,3146348
8124,2,4,8,5,4,2,2,2,24100,2600,20000,1500,20,20,,0,0,0,0,0,25,0,15,15,0,200,0,2000,400,,,,250,2639625
8126,2,5,9,4,3,2,1,1,51150,3650,45000,2500,60,10,,0,0,0,10,0,2870,0,2600,2600,0,,0,,250,,,,130,2624100
8127,1,4,2,3,6,2,2,2,40250,5250,33000,2000,45,0,5,0,0,0,0,0,1900,0,0,0,0,300,0,,,250,,,400,3487272
8128,1,3,4,5,6,2,2,2,21100,100,17000,4000,20,20,,0,0,0,0,0,20,0,20,0,0,,5,,50,,,,25,3146348
8130,1,5,9,2,7,2,2,2,83500,7500,68000,8000,250,0,,0,0,0,0,0,0,0,0,0,0,,100,6000,,,,,200,3038873
8132,1,4,2,5,6,2,2,2,33800,800,32000,1000,10,0,,0,0,0,0,0,1200,0,0,0,0,200,0,,,,,,590,3380323
8133,1,4,3,3,6,2,2,2,38320,5820,30000,2500,150,0,5,0,0,0,50,12,5100,5100,0,0,0,200,0,120,,400,,,44,3487272
8134,1,5,2,5,4,1,,2,5930,3930,500,1500,35,0,5,0,0,0,0,20,2320,170,0,0,0,,0,,,1030,,,150,2860741
8135,1,5,4,4,7,2,2,3,12000,4000,5000,3000,300,0,5,0,0,0,100,30,15700,0,0,0,15000,,0,1000,,700,,,300,3106659
8137,1,5,9,3,5,2,1,1,38400,20900,15500,2000,50,0,,0,0,0,0,0,0,0,0,0,0,,0,8000,,,,,350,2869737
8138,1,4,3,4,3,1,,,1710,1710,0,0,275,0,5,0,0,0,15,10,190,35,0,0,0,200,0,,,260,,,170,3809610
8139,2,4,2,4,6,2,2,1,71250,19750,50000,1500,250,150,5,0,0,0,0,10,0,0,0,0,0,200,0,13000,1200,350,200,,200,3146000
8141,2,4,2,1,6,1,,1,59500,8000,50000,1500,130,0,,0,0,0,0,0,0,0,0,0,0,300,25,,,,,,200,4361528
8142,1,4,2,2,7,2,2,1,73700,8200,65000,500,400,280,5,0,0,0,50,20,0,0,0,0,0,500,50,5000,500,500,,,300,3615840
8144,2,5,2,5,6,2,2,3,1300,600,200,500,120,0,,0,0,0,0,0,1400,0,0,0,0,,0,,,,,,300,2188927
8148,2,3,2,3,2,1,,,1400,400,0,1000,50,50,,0,0,0,0,0,0,0,0,0,0,,0,100,100,,100,,70,2769733
8149,1,4,3,5,7,2,2,2,38400,3400,30000,5000,300,0,,0,0,0,0,0,2000,0,0,0,0,500,0,1000,1500,,,,400,3380323
8150,1,3,2,1,2,1,,,80,30,0,50,1,0,,0,0,0,0,0,500,0,0,0,0,,0,,,,,,6,3993789
8153,1,4,2,3,6,2,2,1,4700,2200,2000,500,100,30,,40,30,10,0,0,80,30,30,30,20,100,5,50,50,,50,,400,3487272
8154,1,3,8,5,4,1,,,450,450,0,0,30,25,5,0,0,0,0,5,500,400,100,0,0,,0,,200,50,,,100,3146348
8157,2,6,9,2,3,2,1,,4000,500,3500,0,50,25,5,0,0,0,0,0,0,0,0,0,0,,0,,100,100,,,150,1687950
8161,1,5,2,4,6,2,2,2,24620,120,23000,1500,10,0,,0,0,0,0,0,15000,3000,0,0,10000,,0,,,,,,100,3106659
8165,2,3,2,3,3,1,,,1600,600,0,1000,70,70,,0,0,0,0,0,0,0,0,0,0,,20,,500,,,,50,2769733
8166,1,4,8,4,3,2,1,2,35200,200,32000,3000,1,0,,0,0,0,0,0,2500,0,0,0,0,150,0,,,,,,200,3809610
8167,2,3,2,4,7,2,2,2,32450,450,22000,10000,150,0,5,0,0,0,0,10,18000,0,0,0,15000,,50,,,150,,,550,2929480
8169,1,5,7,4,3,2,2,2,15800,800,5000,10000,22,0,,0,0,0,0,0,1970,0,700,0,0,,20,,,,,,150,3106659
8170,1,3,9,2,7,2,2,1,30800,3550,25000,2250,100,10,5,80,80,0,0,10,5000,0,0,0,5000,,60,,100,400,2000,,200,3211358
8175,1,4,8,3,4,1,,,27800,2800,23000,2000,100,20,5,0,0,0,0,10,2500,0,2500,2500,0,300,0,,500,300,,,250,3487272
8176,1,2,9,3,1,1,,,200,100,100,0,3,0,,0,0,0,0,0,299,0,0,0,0,,0,,,,,,15,1316087
8182,2,4,2,4,4,1,,,14230,11230,0,3000,120,50,,40,40,0,0,0,0,0,0,0,0,100,30,5000,1200,,4000,,100,3146000
8183,2,4,2,3,5,2,2,2,31600,3600,25000,3000,120,30,5,0,0,0,20,10,2000,0,2000,2000,0,200,20,,1000,300,200,,180,2835021
8185,1,4,9,4,4,2,1,2,43880,3780,40000,100,40,0,5,0,0,0,20,0,0,0,0,0,0,150,20,100,,400,500,,200,3809610
8186,2,2,2,2,2,1,,,2300,1300,0,1000,50,50,,0,0,0,0,0,0,0,0,0,0,,0,1000,50,,,200,40,1741465
8187,2,5,9,4,3,2,2,3,40300,200,40000,100,1,0,,0,0,0,0,0,22500,0,21000,21000,0,,0,,,,,,50,2624100
8189,2,3,2,3,6,2,2,,9200,1200,7000,1000,20,20,,0,0,0,0,0,0,0,0,0,0,,0,500,500,,,,250,2769733
8190,1,3,9,5,2,1,,,4500,1800,200,2500,50,30,,0,0,0,20,0,0,0,0,0,0,,20,400,300,,100,,50,3146348
8191,1,2,9,3,2,1,,,293,293,0,0,2,2,,0,0,0,0,0,639,0,0,0,0,,0,,250,,,,50,1316087
8192,1,5,2,1,6,2,2,2,69700,17700,50000,2000,250,150,5,0,0,0,0,50,1250,0,0,0,0,,0,1000,10000,5000,,,200,4970759
8193,1,5,2,2,6,2,2,3,33650,1650,30000,2000,100,30,,0,0,0,30,0,3500,0,1500,1500,0,,0,400,200,,100,100,400,3038873
8195,1,3,8,3,5,2,1,2,19650,16050,3000,600,200,50,5,10,10,0,25,10,15780,0,15780,15780,0,,20,2000,1000,50,500,,200,3232276
8196,2,2,2,3,3,1,,,1331,1330,0,1,120,108,5,0,0,0,10,2,0,0,0,0,0,,10,200,500,230,,,70,1693477
8199,1,4,7,1,1,1,,,1550,50,1400,100,50,0,,0,0,0,0,0,200,0,0,0,0,80,0,,,,,,30,5296554
8201,1,4,2,5,4,2,1,2,30040,3850,25190,1000,40,0,5,0,0,0,6,0,16000,0,16000,16000,0,200,0,,,300,,,250,3380323
8202,2,5,7,5,3,1,,,701,200,500,1,1,0,,0,0,0,0,0,400,0,0,0,400,,0,,,,,,50,2188927
8204,1,4,2,3,5,2,2,1,42800,12800,25000,5000,60,25,5,0,0,0,0,0,0,0,0,0,0,300,0,2000,500,600,,,200,3487272
8206,2,6,7,2,7,2,2,2,73600,3600,65000,5000,20,0,5,0,0,0,0,5,0,0,0,0,0,,10,,,600,,,350,1687950
8209,2,4,9,2,2,1,,,90,80,0,10,30,0,,0,0,0,0,0,90,90,0,0,0,300,0,,,,,,90,3198903
8210,1,3,8,5,3,1,,,17450,7750,6500,3200,110,95,5,0,0,0,0,0,0,0,0,0,0,,0,1100,6000,300,,,30,3146348
8211,1,2,2,4,2,1,,,4660,1660,0,3000,125,100,5,0,0,0,10,10,0,0,0,0,0,,100,130,950,380,,,55,1437017
8212,1,3,2,2,6,2,1,,73410,410,72300,700,200,160,,0,0,0,20,0,28000,0,28000,28000,0,,50,50,200,,,,180,3211358
8213,1,3,3,4,4,2,2,1,28000,14500,10500,3000,5,0,5,0,0,0,0,5,0,0,0,0,0,,5,2500,,2000,,,10,3414512
8214,2,2,2,5,2,1,,,3300,800,500,2000,170,170,,0,0,0,0,0,2,0,0,0,0,,0,,500,,,,20,1682269
8215,2,2,8,5,1,1,,,75,74,0,1,1,0,,0,0,0,0,0,15,0,0,0,0,,0,,,,,,65,1682269
8219,2,2,3,4,3,1,,,2950,2950,0,0,100,60,5,10,10,0,10,10,0,0,0,0,0,,6,,500,300,200,,70,1741706
8221,1,2,2,2,6,1,,,71200,200,70000,1000,200,0,,0,0,0,0,0,0,0,0,0,0,,50,,,,,,300,1369899
8223,2,4,2,3,6,2,2,2,12500,1500,10000,1000,100,0,,0,0,0,0,0,0,0,0,0,0,200,100,,,,,,185,2835021
8226,1,4,2,5,6,2,1,3,12350,7350,0,5000,80,0,,0,0,0,80,0,4500,2000,2500,0,0,500,0,,,,,,153,3380323
8227,1,4,9,5,7,1,,,25000,10000,13000,2000,2000,0,5,300,0,300,0,15,0,0,0,0,0,200,0,,,3000,,,3000,3380323
8228,1,4,2,4,5,2,2,1,18450,1450,12000,5000,100,25,,25,25,0,0,0,1500,500,0,0,1000,250,50,1000,200,,100,,200,3809610
8229,2,3,2,4,2,1,,,550,550,0,0,10,0,5,0,0,0,0,10,0,0,0,0,0,,2,,,300,,,100,2929480
8233,1,4,9,5,4,2,1,1,11050,2550,8000,500,100,0,5,0,0,0,0,0,0,0,0,0,0,250,0,1000,500,50,,,100,3380323
8234,1,5,2,4,5,2,2,2,45600,8100,34000,3500,10,0,5,0,0,0,0,10,2000,0,2000,2000,0,,0,,,100,,,120,3106659
8236,1,4,2,3,4,2,2,2,21800,1700,20000,100,80,0,,0,0,0,80,0,7000,0,7000,7000,0,100,30,1500,,,,,250,3487272
8238,2,4,2,4,7,2,2,2,27500,1500,21000,5000,100,0,,0,0,0,0,0,700,0,0,0,500,250,0,1000,,,,,200,3146000
8240,1,3,2,1,6,2,2,,35550,8450,27000,100,310,260,5,0,0,0,0,5,500,0,0,0,0,,50,1000,5700,600,,,150,3993789
8241,1,4,7,4,2,1,,,8050,50,3000,5000,15,0,,0,0,0,0,0,940,0,590,0,0,200,0,,,,,,180,3809610
8242,1,4,2,1,7,2,2,1,96000,13000,80000,3000,500,150,,0,0,0,200,0,0,0,0,0,0,400,150,1000,4000,,,,600,5296554
8244,2,3,8,2,7,2,2,1,60250,250,50000,10000,200,100,,0,0,0,0,0,50,0,50,50,0,,0,50,100,,,,300,2932871
8252,1,3,2,2,3,1,,,920,220,500,200,50,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,,160,3211358
8255,2,2,4,3,6,1,,,1310,810,0,500,100,80,5,10,10,0,0,10,0,0,0,0,0,,10,,240,400,70,,300,1693477
8257,1,2,2,2,4,1,,,16000,6000,0,10000,250,230,5,0,0,0,0,20,0,0,0,0,0,,250,,5000,800,,,40,1369899
8258,2,2,2,4,5,2,2,,18700,1200,15000,2500,50,40,,0,0,0,0,0,2510,0,0,0,0,,10,,700,,,,250,1741706
8261,1,4,8,2,6,2,2,3,75800,23700,52000,100,150,100,5,0,0,0,0,10,0,0,0,0,0,200,150,10000,800,100,1500,1000,150,3615840
8262,1,5,9,3,4,2,1,3,14200,6200,5000,3000,10,0,,0,0,0,0,0,4000,0,0,0,0,,0,6000,,,,,370,2869737
